data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
6714112,706,SOM30116,30116,"18 December 2019",2019,1,Battles,"Armed clash","Unidentified Armed Group (Somalia)",,3,"Military Forces of Somalia (2017-)",,1,13,"Eastern Africa",Somalia,Bay,Baydhaba,,Baidoa,3.1172,43.6469,1,"Undisclosed Source","Local partner-Other","18 December 2019. In Baidoa, Somali military forces responded with gunfire after a hand grenade was hurled at them by unknown armed people. The grenade landed in an empty space.",0,1578512393,SOM
6715905,356,IND68122,68122,"18 December 2019",2019,1,Protests,"Peaceful protest","Protesters (India)","Farmers (India)",6,,,0,60,"Southern Asia",India,"Andhra Pradesh",Guntur,Amaravati,Amaravati,16.5752,80.358,3,"Times of India",National,"On 18 December, farmers held protests in 29 villages of Andhra Pradesh against chief minister YS Jaganmohan Reddy's idea of having three capitals in the State. [size=no report]",0,1578514390,IND
6860033,508,MZM1336,1336,"18 December 2019",2019,1,"Violence against civilians","Abduction/forced disappearance","Unidentified Armed Group (Mozambique)",,3,"Civilians (Mozambique)","RENAMO: Mozambican National Resistance",7,37,"Eastern Africa",Mozambique,Manica,Chimoio,"Cidade De Chimoio",Chimoio,-19.1164,33.4833,1,"Club Mozambique",National,"On December 18 2019, the wife and three children of a nephew of Renamo's first president were abducted from their home in the Nhamaonha neighbourhood of Chimoio (Citade de Chimoio, Manica). No fatalities reported.",0,1580939514,MOZ
6714114,706,SOM30118,30118,"18 December 2019",2019,1,"Explosions/Remote violence","Remote explosive/landmine/IED","Unidentified Armed Group (Somalia)",,3,"Military Forces of Somalia (2017-)",,1,13,"Eastern Africa",Somalia,"Middle Shabelle",Cadale,,Adale,2.75,46.316,1,"Undisclosed Source","Local partner-Other","18 December 2019. In Adale, unknown number of Somali military soldiers were killed after a RCIED exploded on their vehicle. No group claimed responsibility. Unknown fatalities coded as 10.",10,1578512393,SOM
6715651,356,IND68163,68163,"18 December 2019",2019,1,Protests,"Peaceful protest","Protesters (India)","ABVP: Akhil Bharatiya Vidyarthi Parishad; Students (India)",6,,,0,60,"Southern Asia",India,"NCT of Delhi","New Delhi",,"Delhi-New Delhi",28.6357,77.2244,1,"The Hindu",National,"On Dec 18, protests were held by ABVP supporting the Citizenship (Amendment) Act, 2019 (CAA) in Delhi University, Delhi. [size=no report]",0,1578514389,IND
6709765,643,RUS3842,3842,"18 December 2019",2019,1,Protests,"Peaceful protest","Protesters (Russia)","KPRF: Communist Party of the Russian Federation",6,,,0,60,Europe,Russia,"Magadan Oblast","Magadan Municipality",,Magadan,59.5638,150.8035,1,KPRF,Other,"On 18 December, at least 7 KPRF activists took part in a protest in Magadan against the proposed changes to the municipal elections in the city, claiming that it amounted to interference from the local authorities who were trying to limit opposition candidates. [size=at least 7]",0,1578510534,RUS
6714373,356,IND68159,68159,"18 December 2019",2019,1,Protests,"Peaceful protest","Protesters (India)","Students (India)",6,,,0,60,"Southern Asia",India,"Uttar Pradesh",Allahabad,Allahabad,Allahabad,25.4447,81.8432,1,"Amar Ujala",Subnational,"On Dec 18, protests were held by students over the Citizenship (Amendment) Act, 2019 (CAA) in Allahabad (UP). [size=no report]",0,1578514386,IND
6715654,356,IND68127,68127,"18 December 2019",2019,1,Protests,"Protest with intervention","Protesters (India)","Students (India)",6,"Police Forces of India (2014-)",,1,16,"Southern Asia",India,"Tamil Nadu",Coimbatore,Coimbatore,Coimbatore,11.0055,76.9661,1,"The Hindu",National,"On December 18, as many as 17 students of Bharathiar University held protest in Coimbatore city (Coimbatore, TN), against the Citizenship (Amendment) Act, 2019 (CAA). They were removed and detained by the police. [size=as many as 17]",0,1578514389,IND
6712328,116,KHM1958,1958,"18 December 2019",2019,1,Protests,"Protest with intervention","Protesters (Cambodia)","Labour Group (Cambodia)",6,"Rioters (Thailand)",,5,56,"South-Eastern Asia",Cambodia,Kandal,"Khsach Kandal","Khsach Kandal","Khsach Kandal",11.6922,105.0373,2,"Khmer Times",National,"On 18 December 2019, an unidentified group of men attacked and beat garment factory protesters demonstrating for compensation and benefits from their employer in Khsach Kandal district of Kandal, Cambodia. Three protesters were injured.",0,1578511386,KHM
6715913,356,IND68130,68130,"18 December 2019",2019,1,Protests,"Peaceful protest","Protesters (India)","Students (India)",6,,,0,60,"Southern Asia",India,Kerala,Kozhikode,Kozhikode,Kozhikode,11.248,75.7804,1,"Times of India",National,"On December 18, over 30 students of the Indian Institute of Management- (IIM-K), held a protest in Kozhikode city (Kozhikode, Kerala), against the Citizenship (Amendment) Act, 2019 (CAA) and National Register of Citizens (NRC). [size=over 30]",0,1578514390,IND
