data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
6708224,368,IRQ22577,22577,"19 December 2019",2019,1,"Explosions/Remote violence","Air/drone strike","Military Forces of Iraq (2018-)",,1,"Islamic State (Iraq)",,2,12,"Middle East",Iraq,Diyala,Khanaqin,,"Lake Hamrin",34.2385,44.992,2,"Al Maloomah",National,"On Dec 19, Iraqi airstrikes targeted IS hideouts near Hamrin lake killing an IS senior leader and his two companions.",3,1578503874,IRQ
6713600,466,MLI3350,3350,"19 December 2019",2019,1,Battles,"Armed clash","JNIM: Group for Support of Islam and Muslims","Katiba Macina",2,"Bi Communal Militia (Mali)",,4,24,"Western Africa",Mali,Mopti,Koro,Koro,Bi,13.9236,-2.9125,1,"Koro Kibaru","New media","On 19 December 2019, presumed Katiba Macina (JNIM) militants attacked the village of Bi, village self-defense repelled the attack, no casualties reported.",0,1578512391,MLI
6715136,356,IND68217,68217,"19 December 2019",2019,1,Protests,"Peaceful protest","Protesters (India)",,6,,,0,60,"Southern Asia",India,Bihar,Darbhanga,Darbhanga,Laheriasarai,26.1193,85.9049,2,"Hindustan Times",National,"On 19 December, residents held a dharna on the tracks near Laheriasarai station (Darbhanga, Bihar) in protest against the Citizenship (Amendment) Act, 2019 (CAA). [size=no report]",0,1578514388,IND
6715648,356,IND68207,68207,"19 December 2019",2019,1,Protests,"Protest with intervention","Protesters (India)","TJS: Telangana Jana Samithi; Students (India); CPI(M): Communist Party of India (Marxist); CPI: Communist Party of India",6,"Police Forces of India (2014-)",,1,16,"Southern Asia",India,Telangana,Hyderabad,Hyderabad,Hyderabad,17.384,78.4563,1,"The Hindu",National,"On December 19, Telangana Jana Samiti (TJS), leaders of Left parties including CPI and CPI(M), students and youth organisations tried to take out a rally in Hyderabad city (Hyderabad, Telangana), against the Citizenship (Amendment) Act, 2019 (CAA) and the National Register of Citizens (NRC). They were stopped by police and arrested. [size=no report]",0,1578514389,IND
6714369,356,IND68266,68266,"19 December 2019",2019,1,Riots,"Violent demonstration","Rioters (India)",,5,"Police Forces of India (2014-)",,1,15,"Southern Asia",India,"Uttar Pradesh",Sambhal,Sambhal,Sambhal,28.5849,78.5695,1,"Amar Ujala",Subnational,"On Dec 19, large numbers of people participated in violent demonstrations in Sambhal (UP) over the Citizenship (Amendment) Act, 2019 (CAA) and 2 buses were set on fire. Aerial firing took place as police intervened and around 4 people were injured. [size=large numbers]",0,1578514386,IND
6715137,356,IND68195,68195,"19 December 2019",2019,1,Protests,"Peaceful protest","Protesters (India)",,6,,,0,60,"Southern Asia",India,Jharkhand,Latehar,Chandwa,Chandwa,23.6756,84.7401,1,"Hindustan Times",National,"On 19 December, a large number of citizens staged a protest in Chandwa (Latehar, Jharkhand) against the Citizenship (Amendment) Act, 2019 (CAA) and National Register of Citizens (NRC). [size=large]",0,1578514388,IND
6714370,356,IND68269,68269,"19 December 2019",2019,1,Protests,"Peaceful protest","Protesters (India)","CPI(M): Communist Party of India (Marxist)",6,,,0,60,"Southern Asia",India,Uttarakhand,Nainital,Haldwani,Haldwani,29.2225,79.5286,1,"Amar Ujala",National,"On Dec 19, a one day sit-in was held by members of CPI (M) over the Citizenship (Amendment) Act, 2019 (CAA) in Haldwani (Uttarakhand). [size=no report]",0,1578514386,IND
6715138,356,IND68236,68236,"19 December 2019",2019,1,Protests,"Peaceful protest","Protesters (India)","Students (India); ABVP: Akhil Bharatiya Vidyarthi Parishad",6,,,0,60,"Southern Asia",India,Maharashtra,Pune,Pune,Pune,18.5195,73.8553,1,"Hindustan Times",National,"On 19 December, at least 500 students, organized by Akhil Bharatiya Vidyarthi Parishad (ABVP) held a protest in the Savitribai Phule Pune University (SPPU) campus (Pune, Maharashtra) against the Citizenship (Amendment) Act, 2019 (CAA) and the National Register of Citizens (NRC). At least 200 Assamese also organized a protest on Jungli Maharaj road for the same reason. [size=at least 700]",0,1578514388,IND
6716674,760,SYR72990,72990,"19 December 2019",2019,1,"Explosions/Remote violence","Air/drone strike","Military Forces of Syria (2000-) Syrian Arab Air Force",,1,,,0,10,"Middle East",Syria,Idleb,Ariha,Ehsem,Bara,35.686,36.5424,1,SOHR,Other,"On 19 December 2019, regime warplanes carried out airstrikes on the outskirts of Bara in Idleb with neither fatalities nor injuries reported.",0,1578515227,SYR
6708995,422,LBN3048,3048,"19 December 2019",2019,1,Protests,"Peaceful protest","Protesters (Lebanon)",,6,,,0,60,"Middle East",Lebanon,"Mount Lebanon",Chouf,,Barja,33.6497,35.4428,1,"Murr TV",National,"On December 19 2019, On day 64 of the anti-government demonstrations, demonstrators blocked the Barja highway in both directions. [size=no report]",0,1578503876,LBN
